numbers,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
5,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100
6,30,36,42,48,54,60,66,72,78,84,90,96,102,108,114,120
7,35,42,49,56,63,70,77,84,91,98,105,112,119,126,133,140
8,40,48,56,64,72,80,88,96,104,112,120,128,136,144,152,160
9,45,54,63,72,81,90,99,108,117,126,135,144,153,162,171,180
10,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200
11,55,66,77,88,99,110,121,132,143,154,165,176,187,198,209,220
12,60,72,84,96,108,120,132,144,156,168,180,192,204,216,228,240
13,65,78,91,104,117,130,143,156,169,182,195,208,221,234,247,260
14,70,84,98,112,126,140,154,168,182,196,210,224,238,252,266,280
15,75,90,105,120,135,150,165,180,195,210,225,240,255,270,285,300
16,80,96,112,128,144,160,176,192,208,224,240,256,272,288,304,320
17,85,102,119,136,153,170,187,204,221,238,255,272,289,306,323,340
18,90,108,126,144,162,180,198,216,234,252,270,288,306,324,342,360
19,95,114,133,152,171,190,209,228,247,266,285,304,323,342,361,380
20,100,120,140,160,180,200,220,240,260,280,300,320,340,360,380,400
